% Model,Furnace_axisym_emmisivity_study_20230825_5.mph
% Version,COMSOL 5.6.0.280
% Date,"Aug 29 2023, 10:39"
% Table,Table 10 - Temperatureqwe - 
% s (mm),Temperature (degC)
219.4531333333333,1100
220.28126666666665,1100
221.1094,1100
221.9375333333333,1100
222.76566666666665,1100
223.5938,1100
224.42191666666665,1100
225.25003333333333,1100
226.07815000000002,1100
226.90626666666668,1100
227.73438333333334,1100
228.5625,1100
229.3906333333333,1100
230.21876666666665,1100
231.0469,1100
231.87503333333333,1100
232.70316666666665,1100
233.5313,1100
234.35941666666665,1100
235.1875333333333,1100
236.01565,1100
236.84376666666665,1100
237.6718833333333,1100
238.5,1100
239.3281333333333,1100
240.15626666666665,1100
240.98439999999997,1100
241.8125333333333,1100
242.64066666666662,1100
243.46879999999996,1100
244.29691666666662,1100
245.1250333333333,1100
245.95315,1100
246.78126666666665,1100
247.6093833333333,1100
248.43749999999997,1100
249.26563333333334,1100
250.09376666666665,1100
250.9219,1100
251.75003333333333,1100
252.57816666666665,1100
253.4063,1100
254.23441666666668,1100
255.06253333333333,1100
255.89064999999997,1100
256.7187666666666,1100
257.5468833333333,1100
258.375,1100
259.2031333333333,1100
260.0312666666666,1100
260.85939999999994,1100
261.68753333333325,1100
262.51566666666656,1100
263.3437999999999,1100
264.17191666666656,1100
265.00003333333325,1100
265.82814999999994,1100
266.6562666666666,1100
267.4843833333333,1100
268.3125,1100
269.1406333333333,1100
269.9687666666666,1100
270.7969,1100
271.62503333333336,1100
272.4531666666667,1100
273.2813,1100
274.1094166666667,1100
274.93753333333336,1100
275.76565000000005,1100
276.59376666666674,1100
277.4218833333334,1100
278.25000000000006,1100
279.0781333333334,1100
279.90626666666674,1100
280.73440000000005,1100
281.56253333333336,1100
282.3906666666667,1100
283.2188,1100
284.0469166666667,1100
284.87503333333336,1100
285.70315000000005,1100
286.53126666666674,1100
287.3593833333334,1100
288.1875000000001,1100
289.0156333333334,1100
289.84376666666674,1100
290.67190000000005,1100
291.50003333333336,1100
292.3281666666667,1100
293.1563,1100
293.98441833333334,1100
294.8125366666667,1100
295.64065500000004,1100
296.4687733333334,1100
297.29689166666674,1100
298.1250100000001,1100
298.9531350000001,1100
299.7812600000001,1100
300.6093850000001,1100
301.4375100000001,1100
302.2656350000001,1100
303.0937600000001,1100
303.9218850000001,1100
304.7500100000001,1100
305.5781350000001,1100
306.4062600000001,1100
307.2343850000001,1100
308.0625100000001,1100
308.8906350000001,1100
309.7187600000001,1100
310.5468850000001,1100
311.3750100000001,1100
312.2031350000001,1100
313.0312600000001,1100
313.8593850000001,1100
314.6875100000001,1100
315.5156350000001,1100
316.3437600000001,1100
317.1718850000001,1100
318.0000100000001,1100
318.8281350000001,1100
319.6562600000001,1100
320.4843850000001,1100
321.3125100000001,1100
322.1406350000001,1100
322.9687600000001,1100
323.7968850000001,1100
324.6250100000001,1100
325.4531350000001,1100
326.2812600000001,1100
327.1093850000001,1100
327.9375100000001,1100
328.7656350000001,1100
329.5937600000001,1100
330.4218850000001,1100
331.2500100000001,1100
332.0781350000001,1100
332.9062600000001,1100
333.7343850000001,1100
334.5625100000001,1100
335.3906350000001,1100
336.2187600000001,1100
337.0468850000001,1100
337.8750100000001,1100
338.7031350000001,1100
339.5312600000001,1100
340.3593850000001,1100
341.1875100000001,1100
342.0156350000001,1100
342.8437600000001,1100
343.6718850000001,1100
344.5000100000001,1100
345.3281350000001,1100
346.1562600000001,1100
346.9843850000001,1100
347.8125100000001,1100
348.6406350000001,1100
349.4687600000001,1100
350.2968850000001,1100
351.1250100000001,1100
351.9531350000001,1100
352.7812600000001,1100
353.6093850000001,1100
354.4375100000001,1100
355.2656350000001,1100
356.0937600000001,1100
356.9218850000001,1100
357.7500100000001,1100
358.5781350000001,1100
359.4062600000001,1100
