GPPLV_2.1
Time,Temperature
(h),(degC)
0,800.0000006531699
0.33,803.1122878648908
0.66,809.1081443623408
0.99,818.0390749923473
1.32,827.712305904237
1.6500000000000004,837.3255484355924
1.98,846.4976959636068
2.31,855.4393636895196
2.64,864.0054836273292
2.97,872.0145455345706
3.3000000000000007,879.7370805446845
3.6300000000000003,887.0166094291138
3.96,893.3198263601176
4.29,899.2633395251997
4.62,905.2068526902814
4.95,910.650152087063
5.28,915.8010148183893
5.61,920.9518775497157
5.94,925.687389742858
6.27,930.0565864482454
6.600000000000001,934.4257831536332
6.930000000000001,938.7030804341465
7.260000000000001,942.7730722568414
7.590000000000001,946.7224906648186
7.92,950.4281556020779
8.25,953.8456666883022
8.58,957.2631777745265
8.91,960.6267484752049
9.24,963.6355200650379
9.57,966.6442916548709
9.9,969.6530632447042
10.23,972.3307095074591
10.56,974.9841840742187
