GPPLV_2.3
Time,Volume
(h),(mm^3)
0,800.000000588933
0.33,803.1634213260623
0.66,809.2378135808268
0.99,818.21489391034
1.32,827.9199527734896
1.6500000000000004,837.5544416655622
1.98,846.7366985523414
2.31,855.6860101459589
2.64,864.2557566375666
2.97,872.2668561815273
3.3000000000000007,879.9909994090548
3.6300000000000003,887.2718672140344
3.96,893.5777308218964
4.29,899.5243724820372
4.62,905.4710141421778
4.95,910.9169094516823
5.28,916.0700567356449
5.61,921.2232040196078
5.94,925.9599269520801
6.27,930.3293873547019
6.600000000000001,934.6988477573233
6.930000000000001,938.9763843587701
7.260000000000001,943.0465605146759
7.590000000000001,946.9961312737959
7.92,950.701992588709
8.25,954.1198423253039
8.58,957.5376920618988
8.91,960.9015664346442
9.24,963.9104116227182
9.57,966.919256810792
9.9,969.9281019988663
10.23,972.6060315569117
10.56,975.25980472656
