GPPLV_2.7
Time,Pressure
(h),(MPa)
0,799.9999999625294
0.33,800.0913916472649
0.66,801.5322790839588
0.99,805.1067746047537
1.32,809.8701032152468
1.6500000000000004,815.5519668274693
1.98,822.1131586642751
2.31,828.8206916149776
2.64,835.7666753155128
2.97,842.7401704158948
3.3000000000000007,849.691246850242
3.6300000000000003,856.5704519857692
3.96,863.0264424553496
4.29,869.3265074457832
4.62,875.6265724362171
4.95,881.6080289506095
5.28,887.403219499881
5.61,893.1984100491526
5.94,898.6163907741724
6.27,903.7016939460085
6.600000000000001,908.7869971178446
6.930000000000001,913.7801425138547
7.260000000000001,918.5653996675243
7.590000000000001,923.2297444461784
7.92,927.6587276859315
8.25,931.8170133958507
8.58,935.9752991057704
8.91,940.0704972322436
9.24,943.7507294980627
9.57,947.4309617638816
9.9,951.1111940297006
10.23,954.3980356374028
10.56,957.6561602651042
