Flow_rate_DR2
Time,Flow rate
s,kg/h
0.0,0.0
0.10000000000000023,369.1259293660096
0.20000000000000046,369.1259317837432
0.3000000000000007,369.1259340240827
0.4000000000000009,369.12593604376565
0.5000000000000011,369.12593782741624
0.6000000000000013,369.1259393739948
0.7000000000000015,369.1259406906391
0.8000000000000017,369.1259417982159
0.9000000000000019,369.1259427208556
1.0000000000000022,369.1259434770356
1.1000000000000025,369.1259440919806
1.2000000000000028,369.1259445898876
1.3000000000000032,369.1259449946367
1.4000000000000035,369.12594532037525
1.5000000000000038,369.12594558066564
1.600000000000004,369.125945787465
1.7000000000000044,369.1259459519574
1.8000000000000047,369.1259460831921
1.900000000000005,369.1259461869503
2.0000000000000053,369.12594626959117
2.1000000000000054,369.12594633505563
2.2000000000000055,369.1259463856507
2.3000000000000056,369.1259464268573
2.4000000000000057,369.1259464590586
2.5000000000000058,369.12594648464506
2.600000000000006,369.1259465047176
2.700000000000006,369.1259465205375
2.800000000000006,369.12594653329455
2.900000000000006,369.1259465433057
3.000000000000006,369.125946551049
3.1000000000000063,369.12594655703015
3.2000000000000064,369.125946561933
3.3000000000000065,369.12594656586293
3.4000000000000066,369.1259465690702
3.5000000000000067,369.12594657132706
3.6000000000000068,369.125946573167
3.700000000000007,369.12594657477354
3.800000000000007,369.12594657595736
3.900000000000007,369.12594657681353
4.000000000000007,369.1259465775361
4.100000000000008,369.1259465781864
4.200000000000008,369.125946578659
4.300000000000009,369.1259465789703
4.400000000000009,369.1259465793093
4.50000000000001,369.12594657947614
4.60000000000001,369.1259465797541
4.700000000000011,369.12594657980395
4.800000000000011,369.12594657989854
4.900000000000012,369.12594658002087
5.000000000000012,369.1259465800986
5.100000000000013,369.1259465801152
5.2000000000000135,369.12594658017656
5.300000000000014,369.1259465802154
5.400000000000015,369.12594658017656
5.500000000000015,369.1259465802099
5.600000000000016,369.1259465802488
5.700000000000016,369.12594658027655
5.800000000000017,369.1259465802877
5.900000000000017,369.1259465802988
6.000000000000018,369.1259465803043
6.100000000000018,369.1259465803155
6.200000000000019,369.1259465803265
6.300000000000019,369.12594658033214
6.40000000000002,369.1259465803433
6.50000000000002,369.1259465803433
6.600000000000021,369.12594658033765
6.7000000000000215,369.1259465803265
6.800000000000022,369.1259465803155
6.900000000000023,369.1259465802988
7.000000000000023,369.125946580282
7.100000000000024,369.1259465802599
7.200000000000024,369.1259465802654
7.300000000000025,369.1259465802821
7.400000000000025,369.1259465803043
7.500000000000026,369.1259465803155
7.600000000000026,369.1259465803155
7.700000000000027,369.125946580321
7.800000000000027,369.1259465803155
7.900000000000028,369.1259465803155
8.000000000000028,369.12594658030986
8.100000000000028,369.12594658030986
8.200000000000028,369.1259465803043
8.300000000000027,369.12594658030986
8.400000000000027,369.125946580321
8.500000000000027,369.125946580321
8.600000000000026,369.125946580321
8.700000000000026,369.1259465803265
8.800000000000026,369.125946580321
8.900000000000025,369.1259465803265
9.000000000000025,369.1259465803265
9.100000000000025,369.1259465803265
9.200000000000024,369.125946580321
9.300000000000024,369.125946580321
9.400000000000023,369.125946580321
9.500000000000023,369.125946580321
9.600000000000023,369.125946580321
9.700000000000022,369.1259465803155
9.800000000000022,369.125946580321
9.900000000000022,369.125946580321
10.000000000000002,369.1259465803155
